,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state,value_change,value_iteration
0,0.2789913376172384,1451,1,1451,1394,0.0,0.0,0.0,0,1.5161086135206747,0
0,0.633609656492869,2999,2,1548,1494,0.0,0.0,0.0,0,1.5161086135206747,0
0,0.9474453369776408,4207,3,1208,1155,0.0,0.0,0.0,0,1.5161086135206747,0
0,1.26025337378184,5468,4,1261,1195,0.0,0.0,0.0,0,1.5161086135206747,0
0,1.5765751163164774,6825,5,1357,1301,0.0,0.0,0.0,0,1.5161086135206747,0
0,1.8958264907201132,8106,6,1281,1128,0.0,0.0,0.0,0,0.08672367261534537,1
0,2.183579603830973,9383,7,1277,1255,0.0,0.0,0.0,0,0.08672367261534537,1
0,2.4583420872688295,10646,8,1263,1248,0.0,0.0,0.0,0,0.08672367261534537,1
0,2.7786052942276003,11919,9,1273,1218,0.0,0.0,0.0,0,0.08672367261534537,1
0,3.1022708296775816,13378,10,1459,1422,0.0,0.0,0.0,0,0.08672367261534537,1
0,3.4037683566411334,14767,11,1389,1389,0.0,0.0,0.0,0,0.008604771992740692,2
0,3.7008739789326985,16114,12,1347,1347,0.0,0.0,0.0,0,0.008604771992740692,2
0,3.964975146452586,17323,13,1209,1209,0.0,0.0,0.0,0,0.008604771992740692,2
0,4.311391830444336,18688,14,1365,1365,0.0,0.0,0.0,0,0.008604771992740692,2
0,4.566332081953685,19884,15,1196,1196,0.0,0.0,0.0,0,0.008604771992740692,2
0,5.087956400712331,22173,16,2289,1140,13.599999999999973,0.8499999999999983,0.0,2,0.0007480724680679147,3
0,5.445637853940328,23701,17,1528,761,8.099999999999994,1.2764705882352922,0.0,2,0.0007480724680679147,3
0,6.391906706492106,27300,18,3599,1775,24.00000000000004,2.538888888888889,0.0,1,0.0007480724680679147,3
0,6.683898651599884,28554,19,1254,626,2.3000000000000007,2.526315789473684,0.0,0,0.0007480724680679147,3
0,7.535127278168996,31994,20,3440,1758,19.300000000000004,3.3650000000000007,0.0,1,0.0007480724680679147,3
0,7.817218820254008,33256,21,1262,630,7.299999999999999,3.5523809523809526,0.0,2,7.31895389375895e-05,4
0,8.334247386455536,35388,22,2132,1062,12.499999999999975,3.959090909090908,0.0,0,7.31895389375895e-05,4
0,8.687521449724834,36886,23,1498,747,7.6999999999999975,4.121739130434782,0.0,0,7.31895389375895e-05,4
0,9.201230013370514,39112,24,2226,1103,8.599999999999987,4.308333333333333,0.0,0,7.31895389375895e-05,4
0,9.76664617061615,41355,25,2243,1109,9.199999999999983,4.503999999999999,0.0,0,7.31895389375895e-05,4
0,10.615367988745371,44693,26,3338,1630,13.799999999999969,4.861538461538459,0.0,0,6.708142629609367e-07,5
0,11.155447053909302,46940,27,2247,1119,15.099999999999971,5.240740740740738,0.0,2,6.708142629609367e-07,5
0,11.423632204532623,48049,28,1109,548,7.599999999999996,5.324999999999997,0.0,0,6.708142629609367e-07,5
0,11.8914280295372,50106,29,2057,1023,10.79999999999998,5.513793103448272,0.0,0,6.708142629609367e-07,5
0,12.196652972698212,51447,30,1341,665,7.999999999999999,5.596666666666663,1.1500000000000004,2,6.708142629609367e-07,5
0,12.684814310073852,53523,31,2076,1028,15.899999999999967,5.929032258064512,2.3000000000000007,2,6.552382712920871e-08,6
0,12.938220504919688,54497,32,974,481,7.099999999999997,5.965624999999994,4.699999999999999,2,6.552382712920871e-08,6
0,13.773945796489716,57805,33,3308,1647,15.899999999999963,6.26666666666666,7.099999999999997,0,6.552382712920871e-08,6
0,14.691923467318217,61404,34,3599,1742,19.199999999999996,6.647058823529405,7.1999999999999975,1,6.552382712920871e-08,6
0,15.606255531311035,65003,35,3599,1772,20.30000000000001,7.037142857142851,7.299999999999999,1,6.552382712920871e-08,6
0,15.978796597321828,66502,36,1499,744,3.3000000000000016,6.933333333333327,7.1999999999999975,0,6.016372673493808e-10,7
0,16.50910584529241,68712,37,2210,1099,9.099999999999987,6.9918918918918855,7.299999999999999,0,6.016372673493808e-10,7
0,17.49109164873759,72311,38,3599,1776,20.1,7.336842105263152,7.4499999999999975,1,6.016372673493808e-10,7
0,17.774629215399425,73509,39,1198,595,1.8000000000000005,7.19487179487179,7.299999999999999,0,6.016372673493808e-10,7
0,18.06327567100525,74774,40,1265,626,7.300000000000001,7.197499999999995,7.3,2,6.016372673493808e-10,7
0,18.304293119907378,75803,41,1029,510,8.299999999999997,7.224390243902435,7.300000000000001,2,5.867496640193492e-11,8
0,18.612693893909455,77094,42,1291,644,7.799999999999998,7.238095238095234,7.449999999999998,2,5.867496640193492e-11,8
0,18.848330541451773,78031,43,937,467,6.199999999999997,7.213953488372089,7.300000000000001,0,5.867496640193492e-11,8
0,19.2337464094162,79730,44,1699,845,9.999999999999991,7.277272727272723,7.449999999999998,2,5.867496640193492e-11,8
0,19.56766163110733,81220,45,1490,738,9.0,7.315555555555552,7.599999999999996,2,5.867496640193492e-11,8
0,20.088622697194417,83097,46,1877,930,3.600000000000002,7.234782608695649,7.449999999999998,0,5.396818381726495e-13,9
0,20.845069678624473,85842,47,2745,1355,6.699999999999992,7.223404255319145,7.300000000000001,0,5.396818381726495e-13,9
0,21.85258864959081,89441,48,3599,1764,15.59999999999996,7.397916666666661,7.449999999999998,1,5.396818381726495e-13,9
0,22.257771702607474,90981,49,1540,766,9.79999999999999,7.446938775510199,7.599999999999996,2,5.396818381726495e-13,9
0,22.70249514579773,92867,50,1886,941,10.99999999999999,7.517999999999995,7.649999999999997,2,5.396818381726495e-13,9
